,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
2021-06-21 10:19:01.302557,-1017.5999755859375,-2253.407958984375,-2989.604736328125,-3527.654052734375,-2781.78662109375,-2434.469970703125,-787.2356567382812,-950.2244262695312,445.7668762207031,-9816.30078125,9819.900390625,9477.4599609375,2853.302978515625,-3067.692138671875,-1142.0001220703125,-382.7568054199219,-3.5999999046325684,-10.199999809265137,9806.7001953125,7861.48583984375,-11.100000381469727,-7567.2275390625,-3561.603759765625,-2676.326416015625,0.0
2021-06-21 10:19:01.302557,-678.2999877929688,-1891.1728515625,-2522.676025390625,-3124.52783203125,-2476.48681640625,-2223.84326171875,-548.2159423828125,-732.2582397460938,74.29447174072266,-7819.36865234375,8839.01953125,6577.9482421875,2745.484130859375,-1419.8843994140625,-126.05717468261719,102.96908569335938,-3.5999999046325684,-10.5,8525.158203125,3813.172607421875,-11.100000381469727,-9810.6005859375,-3259.32177734375,-2242.448974609375,0.0
2021-06-21 10:19:01.303556,-581.7000122070312,-2529.35400390625,-3033.388671875,-2481.745361328125,-2591.90869140625,-1916.580322265625,-447.14984130859375,-39.32998275756836,891.5337524414062,7014.125,-6656.3857421875,-8372.015625,-4518.20361328125,-4910.52099609375,-1290.5140380859375,-366.5459289550781,-3.5999999046325684,-10.199999809265137,-6464.5751953125,-8398.5654296875,-10.800000190734863,80.2380599975586,-5495.78857421875,-4471.42333984375,0.0
2021-06-21 10:19:01.304556,213.0,-2288.462890625,-2736.49755859375,-1415.140869140625,-1855.1224365234375,-800.918701171875,664.5768432617188,1511.052001953125,1708.77294921875,9816.0,-9820.2001953125,-9798.0,-7886.3408203125,-7838.228515625,-1875.28759765625,36.924774169921875,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-11.100000381469727,9810.2998046875,-5911.388671875,-5023.27734375,0.0
2021-06-21 10:19:01.304556,-403.5,-2363.36669921875,-2920.330078125,-2433.754150390625,-2315.314697265625,-1554.2669677734375,101.0660629272461,583.9451904296875,1634.4783935546875,1348.96240234375,-4819.59423828125,-5210.86865234375,-3572.99267578125,-6994.13427734375,-2161.835693359375,-327.21954345703125,-3.299999952316284,-10.199999809265137,-3430.714111328125,-3641.53515625,-10.800000190734863,5489.4208984375,-5066.43505859375,-4411.23779296875,0.0
2021-06-21 10:19:01.305556,-1137.300048828125,-2257.6025390625,-2874.14697265625,-3581.944091796875,-2741.418701171875,-2502.08544921875,-782.437255859375,-994.3580322265625,520.0613403320312,-9816.30078125,9819.900390625,9797.7001953125,2849.4091796875,-3150.84521484375,-1149.78515625,-418.7809753417969,-3.5999999046325684,-10.5,9806.7001953125,8502.20703125,-10.5,-7356.15380859375,-3458.152099609375,-2668.840576171875,0.0
2021-06-21 10:19:01.305556,-833.0999755859375,-1997.23681640625,-2509.48046875,-3155.1220703125,-2523.43310546875,-2410.833984375,-769.8414306640625,-940.6171264648438,74.29447174072266,-7769.939453125,9267.8740234375,7348.5,2699.6611328125,-1538.0335693359375,-206.30259704589844,9.906646728515625,-3.5999999046325684,-10.800000190734863,8650.8583984375,4366.12744140625,-10.800000190734863,-9810.6005859375,-3312.54248046875,-2352.939453125,0.0
2021-06-21 10:19:01.306557,-786.9000244140625,-2559.614990234375,-2954.517822265625,-2461.04931640625,-2592.805908203125,-2056.598876953125,-586.9028930664062,-223.67051696777344,742.9447631835938,7094.708984375,-5633.54833984375,-7524.61767578125,-4490.05078125,-4967.35205078125,-1316.86328125,-431.9898376464844,-3.9000000953674316,-10.800000190734863,-6196.4150390625,-8153.53955078125,-10.5,179.637451171875,-5544.82373046875,-4539.095703125,0.0
2021-06-21 10:19:01.307556,-95.4000015258789,-2451.154296875,-2774.583740234375,-1538.418212890625,-2036.6279296875,-1141.09228515625,351.4819641113281,1143.8720703125,1634.4783935546875,9816.0,-9820.2001953125,-9798.0,-8078.61767578125,-8034.146484375,-2057.935791015625,-184.62387084960938,-3.299999952316284,-10.199999809265137,-9807.0,-9815.400390625,-10.800000190734863,9810.2998046875,-6239.38427734375,-5328.39892578125,0.0
2021-06-21 10:19:01.307556,-615.9000244140625,-2473.026123046875,-2896.638671875,-2448.75146484375,-2472.300537109375,-1717.9212646484375,-58.48036193847656,417.3181457519531,1411.5950927734375,1236.9232177734375,-3893.256103515625,-4286.326171875,-3652.658935546875,-7098.5244140625,-2220.22314453125,-506.4397888183594,-3.9000000953674316,-10.5,-2963.828125,-3269.50341796875,-10.800000190734863,5473.55322265625,-5292.77294921875,-4575.32666015625,0.0
2021-06-21 10:19:01.308555,-1259.699951171875,-2310.3349609375,-2803.0732421875,-3525.25439453125,-2827.8359375,-2640.309326171875,-831.32080078125,-1033.9881591796875,445.7668762207031,-9816.30078125,9819.900390625,9797.7001953125,2936.8623046875,-3169.98828125,-1195.896240234375,-531.6566772460938,-3.299999952316284,-10.5,9806.7001953125,8799.65234375,-11.399999618530273,-7421.421875,-3559.809814453125,-2716.45068359375,0.0
2021-06-21 10:19:01.308555,-992.7000122070312,-1959.784912109375,-2455.80029296875,-3121.228515625,-2614.63427734375,-2409.637451171875,-674.7734375,-984.750732421875,74.29447174072266,-7770.837890625,9346.3916015625,7380.79345703125,2760.458984375,-1567.9447021484375,-161.3891143798828,-64.54330444335938,-4.199999809265137,-10.800000190734863,8703.2333984375,4489.23974609375,-10.800000190734863,-9810.6005859375,-3302.077880859375,-2373.00146484375,0.0
2021-06-21 10:19:01.365871,-819.5999755859375,-2610.84912109375,-2854.054443359375,-2452.350830078125,-2631.080322265625,-2099.980712890625,-508.9291076660156,-218.2664031982422,817.2391967773438,7115.97900390625,-5511.5751953125,-7546.4453125,-4472.38037109375,-4958.0791015625,-1314.16845703125,-470.4156188964844,-3.9000000953674316,-10.199999809265137,-6129.67431640625,-8202.6650390625,-11.399999618530273,148.79969787597656,-5499.67578125,-4555.2646484375,0.0
